Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
KNSL,"Kinsale Capital Group, Inc.",51.97,$1.1B,2016.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/knsl,
KIRK,"Kirkland&#39;s, Inc.",10.9,$171.73M,2002.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/kirk,
KTOV,Kitov Pharma Ltd.,2.29,$26.24M,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ktov,
KTOVW,Kitov Pharma Ltd.,0.5332,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ktovw,
KLAC,KLA-Tencor Corporation,106.66,$16.63B,1980.0,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/klac,
KLXI,KLX Inc.,71.14,$3.61B,,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/klxi,
KONA,"Kona Grill, Inc.",2.05,$20.72M,2005.0,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/kona,
KOPN,Kopin Corporation,3.36,$257.12M,1992.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/kopn,
KRNT,Kornit Digital Ltd.,15.05,$515.87M,2015.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/krnt,
KOSS,Koss Corporation,1.85,$13.66M,,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/koss,
KWEB,KraneShares Trust KraneShares CSI China Internet ETF,59.21,$201.31M,,,,https://www.nasdaq.com/symbol/kweb,
KTOS,"Kratos Defense & Security Solutions, Inc.",10.01,$1.04B,,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ktos,
KRYS,"Krystal Biotech, Inc.",10.08,$103.92M,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/krys,
KLIC,"Kulicke and Soffa Industries, Inc.",23.09,$1.63B,,Technology,Semiconductors,https://www.nasdaq.com/symbol/klic,
KURA,"Kura Oncology, Inc.",15.4,$513.65M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kura,
